,1,2,L,A,B
,ホワイト系,白,100,0,0
,ブラック系,黑,0,0,0
,グレー系,グレー,54,0,0
,ブラウン系,ブラウン,38,50,31
,ベージュ系,ベージュ,96,-4,12
,グレーン系,グリーン,46,-52,50
,ブルー系,ブルー1,32,79,-108
,ブルー系,ブルー2,59,-8,-44
,ブルー系,ブルー3,65,-14,-38
,ブルー系,ブルー4,83,-12,-17
,ブルー系,ブルー5,49,20,-60
,ブルー系,ブルー6,46,10,-41
,ブルー系,ブルー7,35,20,-57
,ブルー系,ブルー8,66,2,-29
,パープル系,紫,30,59,-36
,イエロー系,イエロー1,97,-22,94
,イエロー系,イエロー2,94,-13,68
,イエロー系,イエロー3,92,-11,91
,イエロー系,イエロー4,87,-3,87
,イエロー系,イエロー5,93,-19,83
,イエロー系,イエロー6,90,-9,60
,イエロー系,イエロー7,91,-5,46
,ピンク系,ピンク,81,28,5
,レッド系,赤1,53,80,67
,レッド系,赤2,48,75,41
,レッド系,赤3,46,61,33
,レッド系,赤4,48,59,51
,レッド系,赤5,35,56,39
,オレンジ系,オレンジ,75,24,79
,シルバー系,シルバー,78,0,0
,ゴールド系,ゴールド,87,-2,87
